"lifetime","type"
45.07,"A"
17.78,"A"
18.47,"A"
97.98,"A"
25.22,"A"
86.51,"A"
53.73,"A"
18.94,"A"
12.83,"A"
32.42,"A"
18.61,"A"
22.07,"A"
38.44,"A"
27.74,"A"
15.05,"A"
32.42,"A"
25.12,"A"
52.82,"A"
35.02,"A"
13.95,"A"
33.21,"A"
22.06,"A"
18.05,"A"
42.38,"A"
44.82,"A"
11.26,"A"
34.47,"A"
32,"A"
61.59,"A"
73.55,"A"
72.78,"A"
76.71,"A"
53.74,"A"
27.89,"A"
32.17,"A"
15.63,"A"
56.86,"A"
42.73,"A"
23.86,"A"
44.72,"A"
19.6,"A"
63.22,"A"
21.38,"A"
19.8,"A"
76.49,"A"
29.58,"A"
26.39,"A"
31.41,"A"
27.09,"A"
38.09,"A"
47.04,"A"
25.41,"A"
34.01,"A"
26.13,"A"
19.09,"A"
77.17,"A"
41.49,"A"
17.44,"A"
32.87,"A"
33.15,"A"
39.93,"A"
29.08,"A"
65.13,"A"
51.05,"A"
18.65,"A"
40.26,"A"
33.29,"A"
52.93,"A"
26.45,"A"
58.47,"A"
51.71,"A"
38.99,"A"
22.1,"A"
52.56,"A"
35.52,"A"
54.8,"A"
41.16,"A"
6.54,"A"
55.12,"A"
15.78,"A"
103.33,"A"
38.88,"A"
38.92,"A"
23.21,"A"
45.66,"A"
52.71,"A"
19.47,"A"
10.45,"A"
45.63,"A"
28.43,"A"
27.98,"A"
30.97,"A"
39.38,"B"
44.11,"B"
35.73,"B"
80.75,"B"
78.7,"B"
38.78,"B"
47.35,"B"
86.13,"B"
58.33,"B"
41.32,"B"
20.28,"B"
32.77,"B"
48.37,"B"
36.06,"B"
71.78,"B"
10.05,"B"
131.59,"B"
55.05,"B"
18.12,"B"
86.55,"B"
15.65,"B"
52.22,"B"
46.11,"B"
70.39,"B"
12.85,"B"
7.67,"B"
77.35,"B"
19.75,"B"
21.28,"B"
58.62,"B"
102.31,"B"
62.93,"B"
67.31,"B"
68.76,"B"
87.84,"B"
29.34,"B"
13.5,"B"
53.85,"B"
73.25,"B"
41.99,"B"
44.8,"B"
30.35,"B"
66.3,"B"
59.66,"B"
29.23,"B"
28.74,"B"
24.57,"B"
56.11,"B"
48.44,"B"
52.29,"B"
37.44,"B"
31.72,"B"
35.18,"B"
21.58,"B"
20.5,"B"
49.45,"B"
37.81,"B"
65.45,"B"
42.49,"B"
22.01,"B"
27.27,"B"
91.46,"B"
35.97,"B"
64.99,"B"
31.68,"B"
37.66,"B"
33.81,"B"
47.39,"B"
29.55,"B"
30.98,"B"
52.41,"B"
22.5,"B"
43.62,"B"
89.17,"B"
16.32,"B"
