"lifetime","type"
45.35,"A"
55.81,"A"
51.75,"A"
22.39,"A"
54.48,"A"
46.21,"A"
26.95,"A"
22.01,"A"
41.47,"A"
18.35,"A"
7.66,"A"
46.33,"A"
27.89,"A"
35.25,"A"
23.27,"A"
36.8,"A"
12.39,"A"
34.92,"A"
42.86,"A"
26.8,"A"
41.76,"A"
27.48,"A"
29.78,"A"
44.49,"A"
30.52,"A"
17.55,"A"
9.05,"A"
64.22,"A"
32.96,"A"
85.34,"A"
39.68,"A"
18.03,"A"
27.77,"A"
10.92,"A"
32.77,"A"
27.79,"A"
31.41,"A"
19.85,"A"
58.49,"A"
46.42,"A"
25.97,"A"
42.31,"A"
36.63,"A"
53.54,"A"
24.49,"A"
43.5,"A"
59.69,"A"
15.71,"A"
56.03,"A"
44.74,"A"
67.63,"A"
41.51,"A"
10.66,"A"
34.49,"A"
51.86,"A"
46.65,"A"
17.06,"A"
15.2,"A"
12.38,"A"
72.87,"A"
45.12,"A"
49.73,"A"
37.71,"A"
70.37,"A"
19.14,"A"
30.47,"A"
30.51,"A"
6.59,"A"
23,"A"
36.69,"A"
40.1,"A"
32.66,"A"
27.78,"A"
60.87,"A"
26.05,"A"
12.58,"A"
45.02,"A"
28.61,"A"
11.16,"A"
24.15,"A"
21.64,"A"
40.91,"A"
8.1,"A"
14.6,"A"
24.55,"A"
15.76,"A"
28.92,"A"
31.3,"A"
24.16,"A"
21.84,"A"
17.19,"A"
107.61,"B"
48.74,"B"
92.25,"B"
46.17,"B"
29.48,"B"
42.77,"B"
73.82,"B"
35.22,"B"
40.18,"B"
58.52,"B"
43.06,"B"
94.22,"B"
67.74,"B"
65.96,"B"
36.76,"B"
21.33,"B"
28.1,"B"
115.25,"B"
50.79,"B"
59.32,"B"
46.6,"B"
62.96,"B"
19.86,"B"
107.2,"B"
74.59,"B"
79.79,"B"
24.35,"B"
35.79,"B"
20.69,"B"
46.3,"B"
87.48,"B"
32.46,"B"
76.72,"B"
47.96,"B"
57.94,"B"
33.11,"B"
72.72,"B"
97.76,"B"
27.13,"B"
27.96,"B"
37.81,"B"
58.12,"B"
94.49,"B"
91.26,"B"
41.1,"B"
90.35,"B"
40.38,"B"
61.47,"B"
48.04,"B"
71.75,"B"
49.19,"B"
27.1,"B"
22.16,"B"
78.75,"B"
20.83,"B"
