"lifetime","type"
5.61,"A"
62.37,"A"
27.45,"A"
9.59,"A"
43.39,"A"
35.94,"A"
76.56,"A"
34.81,"A"
58.25,"A"
17.19,"A"
12.62,"A"
5.97,"A"
28.73,"A"
17.38,"A"
53.52,"A"
32.74,"A"
31.89,"A"
45.34,"A"
59.63,"A"
35.6,"A"
9.47,"A"
92.18,"A"
26.48,"A"
61.25,"A"
28.27,"A"
46.32,"A"
30.37,"A"
16.8,"A"
14.35,"A"
7.43,"A"
25.1,"A"
29.89,"A"
20.93,"A"
22.26,"A"
55.34,"A"
26.23,"A"
41.31,"A"
53.32,"A"
41.47,"A"
31.3,"A"
58.69,"A"
32.16,"A"
40.63,"A"
4.93,"A"
17.68,"A"
33.5,"A"
61.61,"A"
17.09,"A"
4.04,"A"
4.03,"A"
17.13,"A"
39.6,"A"
14.23,"A"
14.14,"A"
25.05,"A"
43.82,"A"
53.71,"B"
91.86,"B"
19.03,"B"
32.37,"B"
90.3,"B"
31.59,"B"
22.08,"B"
61.21,"B"
136.88,"B"
62.2,"B"
56.47,"B"
58.98,"B"
55.28,"B"
76.53,"B"
44.57,"B"
132.09,"B"
62.47,"B"
72.53,"B"
79.36,"B"
55.76,"B"
51.89,"B"
29.64,"B"
73.36,"B"
59.41,"B"
32.82,"B"
75.72,"B"
95.58,"B"
103.16,"B"
68.28,"B"
83.26,"B"
27.16,"B"
91.78,"B"
40.83,"B"
45.84,"B"
39.1,"B"
35.16,"B"
80.21,"B"
103.19,"B"
25.05,"B"
60.02,"B"
56.02,"B"
40.58,"B"
24.57,"B"
67.72,"B"
114.57,"B"
40.87,"B"
40.81,"B"
66.84,"B"
70.2,"B"
133.69,"B"
