"lifetime","type"
22.97,"A"
23.12,"A"
18.28,"A"
19.55,"A"
26.09,"A"
30.48,"A"
15.32,"A"
23.94,"A"
26.47,"A"
29.45,"A"
25.35,"A"
14.02,"A"
51.39,"A"
10.67,"A"
14.18,"A"
6.62,"A"
33.84,"A"
14.57,"A"
36.23,"A"
22.13,"A"
20.18,"A"
38.52,"A"
68.18,"A"
14.05,"A"
8.34,"A"
46.11,"A"
15.56,"A"
10.19,"A"
49.51,"A"
43.68,"A"
27.85,"A"
5.73,"A"
18.29,"A"
17.31,"A"
4.69,"A"
27.82,"A"
27.35,"A"
12.37,"A"
16.17,"A"
23.92,"A"
23.07,"A"
13.21,"A"
55.47,"A"
27.88,"A"
81.22,"A"
28.02,"A"
37.43,"A"
30.04,"A"
37.1,"A"
26.68,"A"
22.68,"A"
20.65,"A"
25.8,"A"
19.76,"A"
20.11,"A"
23.33,"A"
12.33,"A"
44.19,"A"
26.69,"A"
29.82,"B"
17.37,"B"
67.02,"B"
41.37,"B"
48.82,"B"
56.73,"B"
31.87,"B"
42.61,"B"
20.97,"B"
48.21,"B"
44.99,"B"
30.63,"B"
16.53,"B"
60.72,"B"
32.58,"B"
55.31,"B"
93.52,"B"
67.27,"B"
50.65,"B"
25.63,"B"
49.15,"B"
80.67,"B"
30.41,"B"
64.19,"B"
41.44,"B"
76.61,"B"
30.26,"B"
46.85,"B"
75.44,"B"
53.04,"B"
44.46,"B"
68.13,"B"
40.88,"B"
35.35,"B"
44.83,"B"
41.6,"B"
46.89,"B"
56.31,"B"
55.74,"B"
25.12,"B"
80.36,"B"
53.49,"B"
28.87,"B"
31.95,"B"
33.73,"B"
49.01,"B"
77.45,"B"
16.74,"B"
42.34,"B"
22.97,"B"
29.83,"B"
77.97,"B"
48.86,"B"
37.99,"B"
34.8,"B"
23.76,"B"
80.59,"B"
49.72,"B"
24.22,"B"
15.42,"B"
51.72,"B"
47.09,"B"
34.34,"B"
30.97,"B"
83.94,"B"
18.23,"B"
13.36,"B"
103.72,"B"
21.9,"B"
46.84,"B"
60.92,"B"
45.46,"B"
