"lifetime","type"
11.08,"A"
60,"A"
25.96,"A"
63.15,"A"
53.57,"A"
31.24,"A"
25.52,"A"
48.08,"A"
21.27,"A"
8.88,"A"
53.71,"A"
32.34,"A"
40.86,"A"
26.97,"A"
42.67,"A"
14.37,"A"
40.48,"A"
49.68,"A"
31.07,"A"
48.42,"A"
31.86,"A"
34.52,"A"
51.58,"A"
35.38,"A"
20.34,"A"
10.49,"A"
74.45,"A"
38.21,"A"
98.94,"A"
46,"A"
20.91,"A"
32.19,"A"
12.66,"A"
38,"A"
32.22,"A"
36.42,"A"
23.01,"A"
67.8,"A"
53.81,"A"
30.1,"A"
49.05,"A"
42.47,"A"
62.07,"A"
28.4,"A"
50.43,"A"
69.2,"A"
18.21,"A"
64.96,"A"
51.86,"A"
78.4,"A"
48.13,"A"
12.36,"A"
39.98,"A"
60.13,"A"
54.08,"A"
16.31,"B"
13.8,"B"
10.15,"B"
103.67,"B"
58.45,"B"
65.81,"B"
46.82,"B"
99.53,"B"
19.18,"B"
35.71,"B"
35.77,"B"
3.45,"B"
24.66,"B"
45.23,"B"
50.54,"B"
39.04,"B"
31.67,"B"
83.86,"B"
29.12,"B"
10.4,"B"
58.3,"B"
32.91,"B"
8.63,"B"
26.33,"B"
22.71,"B"
51.81,"B"
5.05,"B"
13.01,"B"
26.91,"B"
14.55,"B"
33.38,"B"
36.97,"B"
26.35,"B"
23,"B"
16.49,"B"
120,"B"
35.48,"B"
108.96,"B"
32.28,"B"
13.47,"B"
28.15,"B"
69.38,"B"
19.49,"B"
25.1,"B"
48.18,"B"
28.5,"B"
99.44,"B"
60.79,"B"
58.32,"B"
21.19,"B"
6.13,"B"
12.11,"B"
131.97,"B"
38.07,"B"
49.25,"B"
32.81,"B"
54.18,"B"
5,"B"
119.37,"B"
70.48,"B"
77.99,"B"
8.65,"B"
20.11,"B"
5.63,"B"
32.45,"B"
89.32,"B"
16.52,"B"
73.55,"B"
34.51,"B"
47.41,"B"
17.2,"B"
67.81,"B"
104.82,"B"
