"lifetime","type"
50.67,"A"
33.4,"A"
41.58,"A"
15.71,"A"
54.06,"A"
47.67,"A"
34.02,"A"
42.64,"A"
17.19,"A"
36.91,"A"
37.66,"A"
22.88,"A"
24.35,"A"
42.23,"A"
48.27,"A"
20.03,"A"
7.16,"A"
57.92,"A"
19.48,"A"
63.77,"A"
57.98,"A"
18.32,"A"
21.81,"A"
40.03,"A"
31.58,"A"
25.18,"A"
22.82,"A"
30.99,"A"
49.19,"A"
47.07,"A"
28.73,"A"
36.02,"A"
23.41,"A"
29.01,"A"
16.57,"A"
55.14,"A"
53.61,"A"
30.34,"A"
54.95,"A"
10.06,"A"
58.61,"A"
37.14,"A"
46.14,"A"
54.58,"A"
4.58,"A"
6.89,"A"
38.18,"A"
48.02,"A"
43.16,"A"
20.05,"A"
56.85,"A"
14.46,"A"
20.39,"A"
47.73,"A"
29.44,"A"
23.9,"A"
15.99,"A"
72.06,"A"
45.62,"A"
22.76,"A"
56.32,"A"
18.07,"A"
13.22,"A"
53.69,"A"
12.14,"A"
35.85,"A"
110.47,"A"
11.22,"A"
22.36,"A"
51.06,"A"
13.05,"A"
42.54,"A"
25.45,"A"
48.62,"A"
94.14,"B"
35.7,"B"
58.7,"B"
44.85,"B"
24.29,"B"
35.92,"B"
30.68,"B"
40.99,"B"
69.24,"B"
69.3,"B"
29.79,"B"
57.67,"B"
21.97,"B"
48.96,"B"
67.9,"B"
33,"B"
40.99,"B"
73.08,"B"
12.94,"B"
53.01,"B"
57.59,"B"
54.73,"B"
22.48,"B"
58.15,"B"
33.19,"B"
56.89,"B"
53.15,"B"
25.88,"B"
40.53,"B"
29.8,"B"
36.71,"B"
57.44,"B"
21,"B"
15.45,"B"
31.9,"B"
52.06,"B"
51.63,"B"
22.41,"B"
23.71,"B"
30.95,"B"
45.46,"B"
23.51,"B"
68.7,"B"
46.53,"B"
24.14,"B"
12.88,"B"
15.03,"B"
31.45,"B"
58.94,"B"
25.48,"B"
24.12,"B"
11.67,"B"
50.33,"B"
51.08,"B"
62.48,"B"
43.61,"B"
42.55,"B"
