"lifetime","type"
69.91,"A"
35.55,"A"
20.51,"A"
80.38,"A"
40.03,"A"
83.64,"A"
19.5,"A"
10.81,"A"
6.64,"A"
21.8,"A"
15.11,"A"
23.08,"A"
65.38,"A"
92.7,"A"
47.79,"A"
20.44,"A"
32.78,"A"
22.59,"A"
16.27,"A"
10.09,"A"
20.17,"A"
52.02,"A"
4.58,"A"
69.58,"A"
42.11,"A"
34.16,"A"
82.79,"A"
27.52,"A"
5.85,"A"
19.88,"A"
7.89,"A"
69.58,"A"
72.38,"A"
179.77,"A"
11.04,"A"
14.49,"A"
33.78,"A"
80.65,"A"
47.93,"A"
11.28,"A"
85.81,"A"
48.73,"A"
84.31,"A"
17.45,"A"
11.44,"A"
20.51,"A"
52.07,"A"
24.21,"A"
35.81,"A"
57.46,"A"
54.87,"A"
27.72,"A"
11.78,"A"
15.8,"A"
73.41,"A"
17.29,"A"
18.4,"A"
13.44,"A"
70.75,"A"
46.77,"A"
0.8,"A"
27.43,"A"
61.78,"A"
15.42,"A"
88.19,"A"
85.46,"A"
43.32,"A"
13.68,"A"
25.43,"A"
11.45,"A"
25.67,"A"
24.8,"A"
42.67,"A"
10.93,"A"
72.82,"A"
41.21,"A"
34.41,"A"
13.92,"A"
11.61,"A"
12.31,"B"
66.66,"B"
29.96,"B"
13.32,"B"
59.29,"B"
63.86,"B"
40.83,"B"
22.68,"B"
66.73,"B"
58.69,"B"
42.3,"B"
48.26,"B"
93.4,"B"
41.45,"B"
63.14,"B"
25.04,"B"
14.9,"B"
39.21,"B"
47,"B"
68.95,"B"
120.65,"B"
20.36,"B"
33.97,"B"
61.24,"B"
96.96,"B"
44.25,"B"
83.24,"B"
53.88,"B"
55.5,"B"
35.62,"B"
55.91,"B"
24.28,"B"
123.35,"B"
20,"B"
26.32,"B"
39.5,"B"
21.39,"B"
29.08,"B"
47.64,"B"
12.31,"B"
29.79,"B"
37.17,"B"
68.45,"B"
8.66,"B"
29.03,"B"
48.84,"B"
69.44,"B"
85.16,"B"
15.61,"B"
49,"B"
35.16,"B"
86.11,"B"
86.93,"B"
4.8,"B"
41.93,"B"
81.8,"B"
35.19,"B"
36.06,"B"
40.91,"B"
72.39,"B"
102.7,"B"
46.15,"B"
55.2,"B"
11.83,"B"
58.93,"B"
5.87,"B"
44.46,"B"
26.87,"B"
60.01,"B"
69.79,"B"
22.15,"B"
46.48,"B"
27.45,"B"
132.13,"B"
17.85,"B"
25.54,"B"
23.8,"B"
44.77,"B"
43.02,"B"
49.06,"B"
61.42,"B"
92.54,"B"
78.32,"B"
29.24,"B"
36.69,"B"
75.89,"B"
