"lifetime","type"
42.12,"A"
26.33,"A"
25.03,"A"
14.48,"A"
38.49,"A"
68.32,"A"
114.22,"A"
22.5,"A"
52,"A"
106.86,"A"
38.63,"A"
19.23,"A"
22.66,"A"
34.05,"A"
31.12,"A"
9.88,"A"
61.51,"A"
11.78,"A"
18.58,"A"
29.57,"A"
17.6,"A"
46.84,"A"
30.8,"A"
44.72,"A"
78.79,"A"
31.24,"A"
51.94,"A"
26.85,"A"
83.72,"A"
60.35,"A"
22.8,"A"
68.15,"A"
29.92,"A"
80.23,"A"
28.65,"A"
54.51,"A"
27.11,"A"
32.16,"A"
6.51,"A"
76.64,"A"
53.41,"A"
75.56,"A"
27.2,"A"
87.32,"A"
27.47,"A"
22.39,"A"
16.98,"A"
40.6,"A"
133.65,"A"
64.82,"A"
12.94,"A"
102.59,"A"
64.04,"A"
71.63,"A"
40.74,"A"
29.9,"A"
18.5,"A"
12.59,"A"
25.34,"A"
31.98,"A"
24.1,"A"
17.18,"A"
18.95,"A"
89.54,"A"
100.86,"A"
61.67,"A"
48.18,"A"
60.52,"A"
50.61,"A"
28.63,"A"
42.28,"A"
45.95,"A"
17.13,"A"
10.93,"A"
8.99,"A"
35.55,"A"
20.18,"A"
28.71,"A"
50.46,"A"
15.73,"A"
29.94,"A"
8.16,"A"
24.5,"A"
43.21,"A"
44.7,"A"
40.26,"A"
30.63,"A"
74.29,"A"
102.53,"A"
47.57,"A"
49.49,"B"
25.8,"B"
24.31,"B"
29.18,"B"
77.66,"B"
64.4,"B"
15.7,"B"
37.13,"B"
26.11,"B"
45.72,"B"
87.17,"B"
34.89,"B"
27.76,"B"
86.12,"B"
73.39,"B"
22.14,"B"
60.41,"B"
61.93,"B"
20.23,"B"
33.8,"B"
44.08,"B"
62.3,"B"
38.93,"B"
19.68,"B"
51.43,"B"
30.3,"B"
19.89,"B"
21.22,"B"
66.09,"B"
40.16,"B"
56.91,"B"
48.88,"B"
24.09,"B"
32.8,"B"
36.9,"B"
38.5,"B"
45.86,"B"
39.65,"B"
77.39,"B"
41.85,"B"
48,"B"
49.56,"B"
46.52,"B"
23.85,"B"
57.78,"B"
78.66,"B"
47.37,"B"
51.05,"B"
39.25,"B"
19.5,"B"
92.55,"B"
48.33,"B"
94.58,"B"
33.92,"B"
43.4,"B"
24.5,"B"
59.6,"B"
49,"B"
34.82,"B"
43.99,"B"
34.6,"B"
39.5,"B"
64.67,"B"
27.15,"B"
25.02,"B"
38.76,"B"
23.76,"B"
24.95,"B"
73.78,"B"
65.29,"B"
89.88,"B"
52.43,"B"
98.81,"B"
44.67,"B"
27.69,"B"
77.82,"B"
59.27,"B"
34.14,"B"
36.64,"B"
62.71,"B"
48.74,"B"
26.27,"B"
32.01,"B"
40.83,"B"
35.13,"B"
97.14,"B"
45.83,"B"
48.35,"B"
23.1,"B"
29.48,"B"
33.28,"B"
19.21,"B"
21.77,"B"
41.88,"B"
60.49,"B"
27.86,"B"
29.75,"B"
52.69,"B"
22.76,"B"
